Sample in Buffer,Sample in Window,TRIGGER,addr_wire[11:0],douta_wire[23:0],filtered_ecg_wire[39:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX
1401,1401,0,29a,fae148,fffebbb200
1402,1402,0,29b,fae148,ffff215700
1403,1403,0,29c,fae148,ffff639600
1404,1404,0,29d,0bf259,ffff978c00
1405,1405,0,29e,0b17e5,ffffd75e00
1406,1406,0,29f,0da741,000043ec00
1407,1407,0,2a0,0b17e5,0000e81100
1408,1408,0,2a1,0bf259,0001c5e200
1409,1409,0,2a2,028f5c,0002c6cc00
1410,1410,0,2a3,ff258c,0003cc3400
1411,1411,0,2a4,f77778,0004ac5400
1412,1412,0,2a5,f77778,0005466700
1413,1413,0,2a6,01b4e8,0005868800
1414,1414,0,2a7,10369d,0005742b00
1415,1415,0,2a8,0ccccd,000526cb00
1416,1416,0,2a9,11eb85,0004ca8f00
1417,1417,0,2aa,0e81b5,000487c300
1418,1418,0,2ab,11eb85,00048a0e00
1419,1419,0,2ac,051eb8,0004ddef00
1420,1420,0,2ad,028f5c,0005812a00
1421,1421,0,2ae,044444,00065c4100
1422,1422,0,2af,051eb8,0007555b00
1423,1423,0,2b0,0bf259,000854e800
1424,1424,0,2b1,18bf25,0009510000
1425,1425,0,2b2,1b4e81,000a4cc100
1426,1426,0,2b3,1dddde,000b56e900
1427,1427,0,2b4,18bf25,000c777e00
1428,1428,0,2b5,1a740d,000db54700
1429,1429,0,2b6,162fc9,000f07bb00
1430,1430,0,2b7,0e81b5,00105dfa00
1431,1431,0,2b8,0ccccd,0011a10200
1432,1432,0,2b9,13a06d,0012c18b00
1433,1433,0,2ba,1c28f6,0013bea700
1434,1434,0,2bb,281b4e,0014aac800
1435,1435,0,2bc,28f5c2,0015a05f00
1436,1436,0,2bd,2d3a06,0016c22700
1437,1437,0,2be,28f5c2,0018234700
1438,1438,0,2bf,23d70a,0019c4e200
1439,1439,0,2c0,1f92c6,001b8b8c00
1440,1440,0,2c1,1b4e81,001d49cd00
1441,1441,0,2c2,1a740d,001ecde300
1442,1442,0,2c3,222222,001ff5ba00
1443,1443,0,2c4,24b17e,0020b62c00
1444,1444,0,2c5,2c5f92,0021239200
1445,1445,0,2c6,317e4b,0021638b00
1446,1446,0,2c7,317e4b,0021a3cb00
1447,1447,0,2c8,3258bf,002209aa00
1448,1448,0,2c9,2d3a06,0022a59500
1449,1449,0,2ca,1dddde,00236a7a00
1450,1450,0,2cb,1dddde,0024384600
1451,1451,0,2cc,1c28f6,0024df4700
1452,1452,0,2cd,1dddde,0025385800
1453,1453,0,2ce,1eb852,0025245100
1454,1454,0,2cf,281b4e,0024a04b00
1455,1455,0,2d0,2b851e,0023be8000
1456,1456,0,2d1,29d036,0022a24100
1457,1457,0,2d2,24b17e,00216e1900
1458,1458,0,2d3,1f92c6,00203de300
1459,1459,0,2d4,111111,001f176300
1460,1460,0,2d5,0f5c29,001df2f000
1461,1461,0,2d6,0a3d71,001cb67700
1462,1462,0,2d7,0a3d71,001b4b6a00
1463,1463,0,2d8,0ccccd,00199e2500
1464,1464,0,2d9,162fc9,0017b05e00
1465,1465,0,2da,162fc9,0015913400
1466,1466,0,2db,13a06d,00135c4000
1467,1467,0,2dc,0da741,001129d000
1468,1468,0,2dd,0962fd,000f0e5100
1469,1469,0,2de,fc9630,000d0bbb00
1470,1470,0,2df,f92c60,000b1b4d00
1471,1471,0,2e0,fa06d4,00092fde00
1472,1472,0,2e1,fa06d4,0007442400
1473,1473,0,2e2,fe4b18,00055dcf00
1474,1474,0,2e3,06d3a0,000390f500
1475,1475,0,2e4,088888,0001f97200
1476,1476,0,2e5,05f92c,0000afc400
1477,1477,0,2e6,01b4e8,ffffbc3000
1478,1478,0,2e7,ff258c,ffff16dd00
1479,1479,0,2e8,f33333,fffea16c00
1480,1480,0,2e9,eeeeef,fffe350500
1481,1481,0,2ea,eeeeef,fffda96a00
1482,1482,0,2eb,efc963,fffce62f00
1483,1483,0,2ec,f4e81b,fffbe6a200
1484,1484,0,2ed,fe4b18,fffabdc400
1485,1485,0,2ee,000000,fff98e3900
1486,1486,0,2ef,ff258c,fff8803300
1487,1487,0,2f0,fd70a4,fff7b2c400
1488,1488,0,2f1,f77778,fff7349200
1489,1489,0,2f2,eeeeef,fff6fdf300
1490,1490,0,2f3,eb851f,fff6f59900
1491,1491,0,2f4,ed3a07,fff6fc3600
1492,1492,0,2f5,ed3a07,fff6f58700
1493,1493,0,2f6,f258bf,fff6d1e500
1494,1494,0,2f7,f92c60,fff68f9600
1495,1495,0,2f8,f258bf,fff6307800
1496,1496,0,2f9,f851ec,fff5bc8400
1497,1497,0,2fa,f92c60,fff5341d00
1498,1498,0,2fb,f92c60,fff4a00900
1499,1499,0,2fc,f33333,fff408b000
1500,1500,0,2fd,e9d037,fff37d8f00
1501,1501,0,2fe,e81b4f,fff3135300
1502,1502,0,2ff,ed3a07,fff2de6c00
1503,1503,0,300,f40da7,fff2ed7900
1504,1504,0,301,f851ec,fff3419700
1505,1505,0,302,fbbbbc,fff3cedf00
1506,1506,0,303,fe4b18,fff47fec00
1507,1507,0,304,fd70a4,fff53a9700
1508,1508,0,305,f69d03,fff5e24700
1509,1509,0,306,f258bf,fff6608100
1510,1510,0,307,f17e4b,fff6ab9c00
1511,1511,0,308,e81b4f,fff6c2f000
1512,1512,0,309,ec5f93,fff6b39f00
1513,1513,0,30a,f4e81b,fff68ea600
1514,1514,0,30b,fd70a4,fff66db800
1515,1515,0,30c,000000,fff6651a00
1516,1516,0,30d,0369d0,fff6862200
1517,1517,0,30e,fc9630,fff6d4cf00
1518,1518,0,30f,e9d037,fff73e1d00
1519,1519,0,310,e4b17f,fff7997700
1520,1520,0,311,eaaaab,fff7b49000
1521,1521,0,312,ec5f93,fff7676100
1522,1522,0,313,ed3a07,fff6a27700
1523,1523,0,314,fbbbbc,fff5837900
1524,1524,0,315,01b4e8,fff4500c00
1525,1525,0,316,01b4e8,fff3651200
1526,1526,0,317,01b4e8,fff3127100
1527,1527,0,318,000000,fff386b200
1528,1528,0,319,f69d03,fff4bb6700
1529,1529,0,31a,f17e4b,fff6778000
1530,1530,0,31b,ee147b,fff85d1900
1531,1531,0,31c,eeeeef,fffa09ac00
1532,1532,0,31d,efc963,fffb2a7d00
1533,1533,0,31e,f92c60,fffb977a00
1534,1534,0,31f,0369d0,fffb59e700
1535,1535,0,320,fa06d4,fffa9c5f00
1536,1536,0,321,fbbbbc,fff9a0b800
1537,1537,0,322,ff258c,fff8a5c400
1538,1538,0,323,f5c28f,fff7dc1e00
1539,1539,0,324,eeeeef,fff758d100
1540,1540,0,325,ed3a07,fff7172300
1541,1541,0,326,f17e4b,fff70ac900
1542,1542,0,327,eeeeef,fff71e3100
1543,1543,0,328,f851ec,fff7432600
1544,1544,0,329,fe4b18,fff76e8900
1545,1545,0,32a,0369d0,fff7a32200
