Sample in Buffer,Sample in Window,TRIGGER,addr_wire[11:0],douta_wire[23:0],filtered_ecg_wire[39:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX
2722,2722,0,4ab,fae148,fffac3b500
2723,2723,0,4ac,0369d0,fffaf90300
2724,2724,0,4ad,051eb8,fffae0c200
2725,2725,0,4ae,088888,fffa9c2800
2726,2726,0,4af,06d3a0,fffa5a7300
2727,2727,0,4b0,01b4e8,fffa4aed00
2728,2728,0,4b1,fc9630,fffa8c9e00
2729,2729,0,4b2,e9d037,fffb1c8700
2730,2730,0,4b3,ed3a07,fffbe40600
2731,2731,0,4b4,f0a3d7,fffcb1e200
2732,2732,0,4b5,f851ec,fffd57c700
2733,2733,0,4b6,ff258c,fffdaaa400
2734,2734,0,4b7,01b4e8,fffd94ec00
2735,2735,0,4b8,01b4e8,fffd186600
2736,2736,0,4b9,0369d0,fffc4d5e00
2737,2737,0,4ba,fc9630,fffb571500
2738,2738,0,4bb,f4e81b,fffa5e0400
2739,2739,0,4bc,f0a3d7,fff9863c00
2740,2740,0,4bd,ed3a07,fff8ebc200
2741,2741,0,4be,e8f5c3,fff8984800
2742,2742,0,4bf,ed3a07,fff8810000
2743,2743,0,4c0,028f5c,fff8945400
2744,2744,0,4c1,088888,fff8bbb000
2745,2745,0,4c2,01b4e8,fff8e42600
2746,2746,0,4c3,028f5c,fff902c800
2747,2747,0,4c4,f851ec,fff911de00
2748,2748,0,4c5,f258bf,fff914ae00
2749,2749,0,4c6,f0a3d7,fff90a3700
2750,2750,0,4c7,f0a3d7,fff8f78400
2751,2751,0,4c8,f40da7,fff8e84b00
2752,2752,0,4c9,fae148,fff8ef8d00
2753,2753,0,4ca,fe4b18,fff920b600
2754,2754,0,4cb,fbbbbc,fff981ce00
2755,2755,0,4cc,01b4e8,fffa08fc00
2756,2756,0,4cd,01b4e8,fffa984e00
2757,2757,0,4ce,f92c60,fffb081000
2758,2758,0,4cf,f5c28f,fffb339000
2759,2759,0,4d0,f33333,fffb091300
2760,2760,0,4d1,f0a3d7,fffa942900
2761,2761,0,4d2,eaaaab,fff9f03f00
2762,2762,0,4d3,f5c28f,fff948c800
2763,2763,0,4d4,fd70a4,fff8c43700
2764,2764,0,4d5,fe4b18,fff87cc900
2765,2765,0,4d6,fd70a4,fff8718200
2766,2766,0,4d7,fe4b18,fff88e8400
2767,2767,0,4d8,f851ec,fff8b26400
2768,2768,0,4d9,f0a3d7,fff8b93e00
2769,2769,0,4da,ed3a07,fff887e900
2770,2770,0,4db,f33333,fff81e3500
2771,2771,0,4dc,f17e4b,fff791bb00
2772,2772,0,4dd,f69d03,fff70daa00
2773,2773,0,4de,ff258c,fff6c05b00
2774,2774,0,4df,044444,fff6d24400
2775,2775,0,4e0,f851ec,fff7483000
2776,2776,0,4e1,fae148,fff809a800
2777,2777,0,4e2,f77778,fff8dca900
2778,2778,0,4e3,ec5f93,fff97d8a00
2779,2779,0,4e4,e8f5c3,fff9ac4200
2780,2780,0,4e5,ee147b,fff9484e00
2781,2781,0,4e6,f0a3d7,fff85ce500
2782,2782,0,4e7,fa06d4,fff7223500
2783,2783,0,4e8,ff258c,fff5e93600
2784,2784,0,4e9,fe4b18,fff5078100
2785,2785,0,4ea,f92c60,fff4b4a700
2786,2786,0,4eb,fae148,fff4fe7e00
2787,2787,0,4ec,f40da7,fff5bef700
2788,2788,0,4ed,e81b4f,fff6a94300
2789,2789,0,4ee,e81b4f,fff7631a00
2790,2790,0,4ef,eeeeef,fff7a70200
2791,2791,0,4f0,ee147b,fff756f300
2792,2792,0,4f1,f77778,fff688c700
2793,2793,0,4f2,f851ec,fff573bb00
2794,2794,0,4f3,01b4e8,fff46df900
2795,2795,0,4f4,000000,fff3c0a300
2796,2796,0,4f5,fbbbbc,fff39e2500
2797,2797,0,4f6,f258bf,fff4094f00
2798,2798,0,4f7,eeeeef,fff4e13a00
2799,2799,0,4f8,ee147b,fff5e9e700
2800,2800,0,4f9,eaaaab,fff6dfb600
2801,2801,0,4fa,ed3a07,fff78ab600
2802,2802,0,4fb,f77778,fff7cf5e00
2803,2803,0,4fc,fbbbbc,fff7b15c00
2804,2804,0,4fd,01b4e8,fff7519900
2805,2805,0,4fe,051eb8,fff6df8600
2806,2806,0,4ff,00da74,fff68eb200
2807,2807,0,500,f4e81b,fff6820a00
2808,2808,0,501,f33333,fff6c8fd00
2809,2809,0,502,eeeeef,fff7580b00
2810,2810,0,503,eb851f,fff811c400
2811,2811,0,504,efc963,fff8cc3b00
2812,2812,0,505,fc9630,fff9663c00
2813,2813,0,506,01b4e8,fff9cd4700
2814,2814,0,507,0369d0,fffa01e100
2815,2815,0,508,0da741,fffa1ad700
2816,2816,0,509,fae148,fffa2c6000
2817,2817,0,50a,f69d03,fffa4e2300
2818,2818,0,50b,f17e4b,fffa7d9a00
2819,2819,0,50c,f0a3d7,fffab4a600
2820,2820,0,50d,ec5f93,fffadbba00
2821,2821,0,50e,f0a3d7,fffadecf00
2822,2822,0,50f,ff258c,fffab93900
2823,2823,0,510,0a3d71,fffa7dee00
2824,2824,0,511,0ccccd,fffa520800
2825,2825,0,512,07ae14,fffa5d9500
2826,2826,0,513,088888,fffac59900
2827,2827,0,514,fc9630,fffb938100
2828,2828,0,515,f5c28f,fffcb5f900
2829,2829,0,516,f258bf,fffdfab100
2830,2830,0,517,fbbbbc,ffff2e5500
2831,2831,0,518,fbbbbc,0000208e00
2832,2832,0,519,06d3a0,0000c12e00
2833,2833,0,51a,07ae14,0001130f00
2834,2834,0,51b,0a3d71,0001345f00
2835,2835,0,51c,06d3a0,00013fef00
2836,2836,0,51d,00da74,0001472400
2837,2837,0,51e,f77778,000142e500
2838,2838,0,51f,f258bf,00011b6700
2839,2839,0,520,ee147b,0000afe200
2840,2840,0,521,ee147b,ffffe84f00
2841,2841,0,522,f33333,fffebfe600
2842,2842,0,523,028f5c,fffd545100
2843,2843,0,524,00da74,fffbd56800
2844,2844,0,525,fbbbbc,fffa7b0000
2845,2845,0,526,f77778,fff9685800
2846,2846,0,527,fae148,fff8ac6400
2847,2847,0,528,eeeeef,fff82fb600
